f1-score,Fold1,Fold2,Fold3,Fold4,Fold5,,sensitivity,Fold1,Fold2,Fold3,Fold4,Fold5,,speicifity,Fold1,Fold2,Fold3,Fold4,Fold5
1,0.927433819,0.924067797,0.952472913,0.926854508,0.938609334,,1,0.885106383,0.873913043,0.908695652,0.865800866,0.896103896,,1,0.961620469,0.963878327,0.982954545,0.971428571,0.971537002
2,0.928807171,0.931890037,0.949304441,0.931890037,0.935461095,,2,0.880851064,0.882608696,0.904347826,0.878787879,0.891774892,,2,0.965884861,0.969581749,0.981060606,0.971428571,0.969639469
3,0.922852133,0.933214986,0.947652262,0.922584852,0.937272426,,3,0.885106383,0.87826087,0.9,0.87012987,0.9004329,,3,0.955223881,0.97338403,0.981060606,0.963809524,0.967741935
4,0.924038835,0.934889876,0.950696084,0.926854508,0.932312855,,4,0.876595745,0.882608696,0.9,0.865800866,0.887445887,,4,0.961620469,0.97338403,0.984848485,0.971428571,0.967741935
5,0.922681969,0.928722132,0.946135968,0.919009358,0.934136048,,5,0.880851064,0.87826087,0.9,0.857142857,0.896103896,,5,0.957356077,0.967680608,0.979166667,0.965714286,0.965844402
6,0.929125138,0.93039548,0.952349021,0.922584852,0.933970482,,6,0.889361702,0.882608696,0.904347826,0.87012987,0.891774892,,6,0.961620469,0.967680608,0.984848485,0.963809524,0.967741935
7,0.930658982,0.932064258,0.95411651,0.92367427,0.932483351,,7,0.889361702,0.886956522,0.913043478,0.861471861,0.891774892,,7,0.963752665,0.967680608,0.982954545,0.96952381,0.965844402
8,0.927433819,0.938225847,0.949038591,0.922185462,0.940259008,,8,0.885106383,0.891304348,0.895652174,0.861471861,0.9004329,,8,0.961620469,0.97338403,0.984848485,0.967619048,0.971537002
9,0.925738397,0.936395225,0.952349021,0.92387218,0.935784347,,9,0.880851064,0.882608696,0.904347826,0.865800866,0.9004329,,9,0.961620469,0.975285171,0.984848485,0.967619048,0.965844402
10,0.919280866,0.936395225,0.940997898,0.919218416,0.93196586,,10,0.872340426,0.882608696,0.882608696,0.861471861,0.878787879,,10,0.957356077,0.975285171,0.981060606,0.963809524,0.971537002
AVG,0.926530029,0.932207293,0.950457201,0.924390003,0.935587661,,AVG,0.883687943,0.882125604,0.903381643,0.866281866,0.895141895,,AVG,0.961146648,0.970215463,0.982954545,0.968042328,0.96816361
,,,,,,,,,,,,,,,,,,,
macro-f1-score-mean10,,,,,,,,,,,,,,,,,,,
,0.927594364,0.936395225,0.94917229,0.925361565,0.940408805,,,,,,,,,,,,,,
